zip_code,franchise_id,assigned
11101,4,TRUE
11102,4,TRUE
11103,4,TRUE
11104,4,TRUE
11105,4,TRUE
11106,4,TRUE
11109,4,TRUE
11120,4,TRUE
11351,4,TRUE
11352,4,TRUE
11369,4,TRUE
11370,4,TRUE
11371,4,TRUE
11372,4,TRUE
11380,4,TRUE
11381,4,TRUE
11386,4,TRUE
11390,4,TRUE
11405,4,TRUE
11411,4,TRUE
11425,4,TRUE
11428,4,TRUE
11429,4,TRUE
11431,4,TRUE
11439,4,TRUE
11451,4,TRUE
11484,4,TRUE
11499,4,TRUE
11690,4,TRUE
11691,4,TRUE
11692,4,TRUE
11693,4,TRUE
11694,4,TRUE
11695,4,TRUE
11697,4,TRUE
11701,4,TRUE
11706,4,TRUE
11707,4,TRUE
11708,4,TRUE
11717,4,TRUE
11718,4,TRUE
11726,4,TRUE
11730,4,TRUE
11739,4,TRUE
11751,4,TRUE
11752,4,TRUE
11757,4,TRUE
11760,4,TRUE
11769,4,TRUE
11775,4,TRUE
11788,4,TRUE
11795,4,TRUE
11796,4,TRUE
11798,4,TRUE
11805,4,TRUE
7007,2,TRUE
7105,2,TRUE
7192,2,TRUE
8520,2,TRUE
8570,2,TRUE
8618,2,TRUE
8666,2,TRUE
8922,2,TRUE
7018,2,TRUE
7106,2,TRUE
7193,2,TRUE
8525,2,TRUE
8601,2,TRUE
8619,2,TRUE
8677,2,TRUE
8933,2,TRUE
7019,2,TRUE
7108,2,TRUE
7194,2,TRUE
8528,2,TRUE
8602,2,TRUE
8620,2,TRUE
8690,2,TRUE
8988,2,TRUE
7029,2,TRUE
7111,2,TRUE
7195,2,TRUE
8534,2,TRUE
8603,2,TRUE
8625,2,TRUE
8691,2,TRUE
8989,2,TRUE
7051,2,TRUE
7112,2,TRUE
7197,2,TRUE
8540,2,TRUE
8604,2,TRUE
8628,2,TRUE
8695,2,TRUE
7094,2,TRUE
7114,2,TRUE
7198,2,TRUE
8541,2,TRUE
8605,2,TRUE
8629,2,TRUE
8818,2,TRUE
7096,2,TRUE
7175,2,TRUE
7199,2,TRUE
8542,2,TRUE
8606,2,TRUE
8638,2,TRUE
8871,2,TRUE
7097,2,TRUE
7182,2,TRUE
7303,2,TRUE
8543,2,TRUE
8607,2,TRUE
8645,2,TRUE
8877,2,TRUE
7099,2,TRUE
7184,2,TRUE
7308,2,TRUE
8544,2,TRUE
8608,2,TRUE
8646,2,TRUE
8878,2,TRUE
7101,2,TRUE
7188,2,TRUE
7309,2,TRUE
8550,2,TRUE
8609,2,TRUE
8647,2,TRUE
8899,2,TRUE
7102,2,TRUE
7189,2,TRUE
7311,2,TRUE
8560,2,TRUE
8610,2,TRUE
8648,2,TRUE
8905,2,TRUE
7103,2,TRUE
7191,2,TRUE
7399,2,TRUE
8561,2,TRUE
8611,2,TRUE
8650,2,TRUE
8906,2,TRUE
11202,6,
11233,6,
11252,6,
11204,6,
11235,6,
11254,6,
11209,6,
11237,6,
11255,6,
11212,6,
11240,6,
11256,6,
11213,6,
11241,6,
11214,6,
11242,6,
11217,6,
11243,6,
11219,6,
11244,6,
11223,6,
11245,6,
11224,6,
11247,6,
11228,6,
11248,6,
11230,6,
11251,6,
7001,5,
7033,5,
7062,5,
7081,5,
7202,5,
7922,5,
8830,5,
8861,5,
8904,5,
7003,5,
7036,5,
7063,5,
7083,5,
7203,5,
7974,5,
8831,5,TRUE
8862,5,
8905,5,
7004,5,
7039,5,
7064,5,
7088,5,
7204,5,
8512,5,TRUE
8832,5,
8863,5,
8906,5,
7006,5,
7040,5,
7065,5,
7090,5,
7205,5,
8536,5,
8837,5,
8871,5,
8933,5,
7008,5,
7041,5,
7066,5,
7091,5,
7206,5,
8810,5,
8840,5,
8872,5,TRUE
8989,5,
7009,5,
7042,5,
7067,5,
7092,5,
7207,5,
8812,5,
8846,5,
8879,5,TRUE
7016,5,
7043,5,
7068,5,
7095,5,
7208,5,
8816,5,
8850,5,
8882,5,
7017,5,
7044,5,
7076,5,
7104,5,
7721,5,
8817,5,
8852,5,
8884,5,TRUE
7021,5,
7050,5,
7077,5,
7107,5,
7735,5,
8818,5,
8854,5,
8899,5,
7023,5,
7052,5,
7078,5,
7109,5,
7747,5,
8820,5,
8855,5,
8901,5,
7027,5,
7060,5,
7079,5,
7110,5,
7901,5,
8824,5,
8857,5,TRUE
8902,5,
7028,5,
7061,5,
7080,5,
7201,5,
7902,5,
8828,5,TRUE
8859,5,TRUE
8903,5,
7011,5,FALSE
7012,5,FALSE
7013,5,FALSE
7014,5,FALSE
7015,5,FALSE
7055,5,FALSE
7403,5,FALSE
7420,5,FALSE
7421,5,FALSE
7424,5,FALSE
7435,5,FALSE
7438,5,FALSE
7442,5,FALSE
7456,5,FALSE
7470,5,FALSE
7474,5,FALSE
7480,5,FALSE
7501,5,FALSE
7502,5,FALSE
7503,5,FALSE
7504,5,FALSE
7505,5,FALSE
7506,5,FALSE
7507,5,FALSE
7508,5,FALSE
7509,5,FALSE
7510,5,FALSE
7511,5,FALSE
7512,5,FALSE
7513,5,FALSE
7514,5,FALSE
7522,5,FALSE
7524,5,FALSE
7533,5,FALSE
7538,5,FALSE
7543,5,FALSE
7544,5,FALSE
7601,5,FALSE
7602,5,FALSE
7603,5,FALSE
7604,5,FALSE
7605,5,FALSE
7606,5,FALSE
7607,5,FALSE
7608,5,FALSE
7620,5,FALSE
7621,5,FALSE
7624,5,FALSE
7626,5,FALSE
7627,5,FALSE
7628,5,FALSE
7630,5,FALSE
7631,5,FALSE
7632,5,FALSE
7640,5,FALSE
7641,5,FALSE
7642,5,FALSE
7643,5,FALSE
7644,5,FALSE
7645,5,FALSE
7646,5,FALSE
7647,5,FALSE
7648,5,FALSE
7649,5,FALSE
7650,5,FALSE
7652,5,FALSE
7653,5,FALSE
7656,5,FALSE
7657,5,FALSE
7660,5,FALSE
7661,5,FALSE
7662,5,FALSE
7663,5,FALSE
7666,5,FALSE
7670,5,FALSE
7675,5,FALSE
7676,5,FALSE
7677,5,FALSE
10001,1,
10002,1,
10003,1,
10004,1,
10005,1,
10006,1,
10007,1,
10008,1,
10009,1,
10010,1,
10011,1,
10012,1,
10013,1,
10014,1,
10016,1,
10017,1,TRUE
10018,1,
10019,1,TRUE
10020,1,TRUE
10021,1,TRUE
10021,1,TRUE
10023,1,TRUE
10024,1,TRUE
10025,1,TRUE
10026,1,
10027,1,TRUE
10028,1,TRUE
10029,1,
10030,1,
10031,1,TRUE
10032,1,TRUE
10033,1,TRUE
10034,1,TRUE
10035,1,
10036,1,
10037,1,
10038,1,
10039,1,
10040,1,TRUE
10041,1,
10042,1,
10043,1,
10044,1,TRUE
10045,1,
10046,1,
10055,1,
10060,1,
10065,1,
10069,1,
10072,1,
10075,1,
10079,1,
10080,1,
10082,1,
10087,1,
10090,1,
10094,1,
10095,1,
10096,1,
10098,1,
10099,1,
10101,1,
10102,1,
10103,1,
10104,1,
10105,1,
10106,1,
10107,1,
10108,1,
10109,1,
10110,1,
10111,1,
10112,1,
10113,1,
10114,1,
10115,1,
10116,1,
10117,1,
10118,1,
10121,1,
10122,1,
10123,1,
10124,1,
10125,1,
10126,1,
10128,1,
10129,1,
10130,1,
10131,1,
10132,1,
10133,1,TRUE
10138,1,
10149,1,
10150,1,
10151,1,
10152,1,
10153,1,
10154,1,
10155,1,
10157,1,
10158,1,
10159,1,
10160,1,
10161,1,
10162,1,
10163,1,
10164,1,
10165,1,
10166,1,
10167,1,
10168,1,
10169,1,
10170,1,TRUE
10171,1,
10172,1,
10173,1,
10174,1,
10175,1,
10176,1,
10177,1,
10178,1,
10179,1,
10184,1,
10185,1,
10196,1,
10197,1,
10199,1,
10203,1,
10211,1,
10212,1,
10213,1,
10242,1,
10249,1,
10256,1,
10257,1,
10258,1,
10259,1,
10260,1,
10261,1,
10265,1,
10268,1,
10270,1,
10271,1,
10272,1,
10273,1,
10274,1,
10275,1,
10276,1,
10277,1,
10278,1,
10279,1,
10280,1,
10281,1,
10282,1,
10285,1,
10286,1,
10292,1,
10301,1,
10302,1,
10303,1,
10304,1,
10305,1,
10306,1,
10307,1,
10308,1,
10309,1,
10310,1,
10311,1,
10312,1,
10313,1,
10314,1,
10451,1,TRUE
10452,1,TRUE
10453,1,TRUE
10454,1,TRUE
10455,1,TRUE
10456,1,TRUE
10457,1,TRUE
10458,1,TRUE
10459,1,TRUE
10460,1,TRUE
10461,1,TRUE
10462,1,TRUE
10463,1,TRUE
10464,1,TRUE
10466,1,TRUE
10467,1,TRUE
10468,1,TRUE
10469,1,TRUE
10470,1,TRUE
10471,1,TRUE
10472,1,TRUE
10473,1,TRUE
10474,1,TRUE
10475,1,TRUE
10499,1,TRUE
10501,1,
10502,1,
10503,1,
10504,1,
10505,1,
10506,1,
10507,1,
10510,1,
10511,1,
10514,1,
10517,1,
10518,1,
10519,1,
10520,1,
10521,1,
10522,1,
10523,1,
10526,1,
10527,1,
10528,1,
10530,1,
10532,1,
10533,1,
10535,1,
10536,1,
10538,1,
10540,1,
10543,1,
10545,1,
10546,1,
10547,1,
10548,1,
10549,1,
10550,1,
10551,1,
10552,1,
10553,1,
10560,1,
10562,1,
10566,1,
10567,1,
10570,1,
10573,1,
10576,1,
10577,1,
10578,1,
10580,1,
10583,1,
10587,1,
10588,1,
10589,1,
10590,1,
10591,1,
10594,1,
10595,1,
10596,1,
10597,1,
10598,1,
10601,1,
10602,1,
10603,1,
10604,1,
10605,1,
10606,1,
10607,1,
10610,1,
10701,1,
10702,1,TRUE
10703,1,
10704,1,
10705,1,
10706,1,
10707,1,
10708,1,
10709,1,
10710,1,
10801,1,
10802,1,
10803,1,
10804,1,
10805,1,
11081,1,
11705,3,TRUE
11713,3,
11715,3,
11716,3,
11719,3,
11720,3,
11721,3,
11727,3,
11733,3,
11738,3,
11741,3,TRUE
11742,3,TRUE
11763,3,TRUE
11764,3,
11766,3,
11767,3,
11772,3,
11776,3,
11777,3,
11778,3,
11779,3,
11780,3,
11782,3,TRUE
11784,3,
11786,3,
11789,3,
11790,3,
11792,3,
11901,3,
11930,3,
11931,3,
11932,3,
11933,3,
11934,3,
11935,3,
11937,3,
11939,3,
11940,3,
11941,3,
11942,3,
11944,3,
11946,3,
11947,3,
11949,3,
11950,3,
11951,3,
11952,3,
11953,3,
11954,3,
11955,3,
11956,3,
11957,3,
11958,3,
11959,3,
11960,3,
11961,3,
11962,3,
11963,3,
11964,3,
11965,3,
11967,3,
11968,3,
11970,3,
11971,3,
11972,3,
11975,3,
11976,3,
11977,3,
11978,3,
11001,3,FALSE
11002,3,FALSE
11003,3,FALSE
11010,3,FALSE
11020,3,FALSE
11021,3,FALSE
11022,3,FALSE
11023,3,FALSE
11024,3,FALSE
11026,3,FALSE
11027,3,FALSE
11030,3,FALSE
11040,3,FALSE
11042,3,FALSE
11050,3,FALSE
11051,3,FALSE
11052,3,FALSE
11053,3,FALSE
11054,3,FALSE
11055,3,FALSE
11096,3,FALSE
11501,3,FALSE
11507,3,FALSE
11509,3,FALSE
11510,3,FALSE
11514,3,FALSE
11516,3,FALSE
11518,3,FALSE
11520,3,FALSE
11530,3,FALSE
11531,3,FALSE
11535,3,FALSE
11542,3,FALSE
11545,3,FALSE
11547,3,FALSE
11548,3,FALSE
11549,3,FALSE
11550,3,FALSE
11551,3,FALSE
11552,3,FALSE
11553,3,FALSE
11554,3,FALSE
11555,3,FALSE
11556,3,FALSE
11557,3,FALSE
11558,3,FALSE
11559,3,FALSE
11560,3,FALSE
11561,3,FALSE
11563,3,FALSE
11565,3,FALSE
11566,3,FALSE
11568,3,FALSE
11569,3,FALSE
11570,3,FALSE
11571,3,FALSE
11572,3,FALSE
11576,3,FALSE
11577,3,FALSE
11579,3,FALSE
11580,3,FALSE
11581,3,FALSE
11582,3,FALSE
11590,3,FALSE
11594,3,FALSE
11596,3,FALSE
11597,3,FALSE
11598,3,FALSE
11599,3,FALSE
11709,3,FALSE
11710,3,FALSE
11714,3,FALSE
11732,3,FALSE
11735,3,FALSE
11736,3,FALSE
11737,3,FALSE
11753,3,FALSE
11756,3,FALSE
11758,3,FALSE
11762,3,FALSE
11765,3,FALSE
11771,3,FALSE
11773,3,FALSE
11774,3,FALSE
11783,3,FALSE
11791,3,FALSE
11793,3,FALSE
11797,3,FALSE
11801,3,FALSE
11802,3,FALSE
11803,3,FALSE
11804,3,FALSE
11815,3,FALSE
11819,3,FALSE
11853,3,FALSE
11854,3,FALSE
11855,3,FALSE